dissimilarity,rdm_index,trialno_1,trialno_2,pattern_index_1,pattern_index_2
0.15812283754348755,0,B1,C1,0,1
0.3188297152519226,0,B1,D1,0,2
0.9103940352797508,0,B1,B2,0,3
0.9564692303538322,0,B1,C2,0,4
0.7706529647111893,0,B1,D2,0,5
0.6497706770896912,0,B1,B4,0,6
0.6401660144329071,0,B1,C4,0,7
0.8019812703132629,0,B1,D4,0,8
0.973583796992898,0,B1,B5,0,9
0.8207431882619858,0,B1,C5,0,10
0.8255607485771179,0,B1,D5,0,11
0.887317568063736,0,B1,B6,0,12
0.8889598026871681,0,B1,C6,0,13
0.7962874323129654,0,B1,D6,0,14
0.8385669589042664,0,B1,B7,0,15
0.9225151687860489,0,B1,C7,0,16
1.0628689527511597,0,B1,D7,0,17
0.8654422461986542,0,B1,B14,0,18
0.9376093298196793,0,B1,C14,0,19
0.8770366087555885,0,B1,D14,0,20
0.8796868026256561,0,B1,B16,0,21
0.8943397477269173,0,B1,C16,0,22
0.8334421515464783,0,B1,D16,0,23
0.8884698525071144,0,B1,B17,0,24
0.8586078882217407,0,B1,C17,0,25
0.7152828872203827,0,B1,D17,0,26
0.9209777042269707,0,B1,B28,0,27
0.8574240952730179,0,B1,C28,0,28
0.9626034647226334,0,B1,D28,0,29
0.8037036806344986,0,B1,B38,0,30
0.7998823374509811,0,B1,C38,0,31
0.6845952570438385,0,B1,D38,0,32
0.7485988438129425,0,B1,B39,0,33
0.825430765748024,0,B1,C39,0,34
0.8960705548524857,0,B1,D39,0,35
0.8368541300296783,0,B1,B40,0,36
0.8812399730086327,0,B1,C40,0,37
0.8967700302600861,0,B1,D40,0,38
1.007343202829361,0,B1,B41,0,39
0.864061176776886,0,B1,C41,0,40
0.8030977845191956,0,B1,D41,0,41
0.9526953808963299,0,B1,B45,0,42
0.8648937344551086,0,B1,C45,0,43
0.937367856502533,0,B1,D45,0,44
0.6366919577121735,0,B1,B58,0,45
0.648620992898941,0,B1,C58,0,46
0.7762416154146194,0,B1,D58,0,47
0.9332611337304115,0,B1,B64,0,48
0.987624297849834,0,B1,C64,0,49
0.849761500954628,0,B1,D64,0,50
0.816306859254837,0,B1,B66,0,51
0.8764792084693909,0,B1,C66,0,52
0.7531269490718842,0,B1,D66,0,53
0.7626312971115112,0,B1,B69,0,54
0.8622686713933945,0,B1,C69,0,55
0.9436068497598171,0,B1,D69,0,56
0.7121626138687134,0,B1,B76,0,57
0.6791570782661438,0,B1,C76,0,58
0.6741471588611603,0,B1,D76,0,59
0.9106163084506989,0,B1,B79,0,60
0.9041210934519768,0,B1,C79,0,61
0.7324730157852173,0,B1,D79,0,62
0.7777872383594513,0,B1,B82,0,63
0.7755782753229141,0,B1,C82,0,64
0.7656678706407547,0,B1,D82,0,65
0.8478140830993652,0,B1,B87,0,66
0.7126000821590424,0,B1,C87,0,67
0.892922155559063,0,B1,D87,0,68
0.7057180404663086,0,B1,B89,0,69
0.7690321654081345,0,B1,C89,0,70
0.7138157188892365,0,B1,D89,0,71
0.9003232717514038,0,B1,B90,0,72
0.956843875348568,0,B1,C90,0,73
0.8598126918077469,0,B1,D90,0,74
0.8127871006727219,0,B1,B95,0,75
0.7535107731819153,0,B1,C95,0,76
0.9461089670658112,0,B1,D95,0,77
0.8225003033876419,0,B1,B100,0,78
0.8178538680076599,0,B1,C100,0,79
0.7668322622776031,0,B1,D100,0,80
0.342362642288208,0,C1,D1,1,2
0.8430639505386353,0,C1,B2,1,3
0.8436847776174545,0,C1,C2,1,4
0.6997631788253784,0,C1,D2,1,5
0.7163940668106079,0,C1,B4,1,6
0.7110269665718079,0,C1,C4,1,7
0.8765615820884705,0,C1,D4,1,8
0.9361068308353424,0,C1,B5,1,9
0.8676794171333313,0,C1,C5,1,10
0.8498409241437912,0,C1,D5,1,11
0.9109621495008469,0,C1,B6,1,12
0.9103661626577377,0,C1,C6,1,13
0.7803688049316406,0,C1,D6,1,14
0.938493937253952,0,C1,B7,1,15
0.9562584199011326,0,C1,C7,1,16
1.1032810136675835,0,C1,D7,1,17
0.8836808130145073,0,C1,B14,1,18
0.911737710237503,0,C1,C14,1,19
0.8807697892189026,0,C1,D14,1,20
0.9998650170164183,0,C1,B16,1,21
0.9547701813280582,0,C1,C16,1,22
0.8865601569414139,0,C1,D16,1,23
0.9057958945631981,0,C1,B17,1,24
0.8718491792678833,0,C1,C17,1,25
0.7716502994298935,0,C1,D17,1,26
0.9286419600248337,0,C1,B28,1,27
0.8440578132867813,0,C1,C28,1,28
0.9315806776285172,0,C1,D28,1,29
0.881624348461628,0,C1,B38,1,30
0.847536027431488,0,C1,C38,1,31
0.7874440401792526,0,C1,D38,1,32
0.8268730938434601,0,C1,B39,1,33
0.8793449178338051,0,C1,C39,1,34
0.9306946471333504,0,C1,D39,1,35
0.7972405850887299,0,C1,B40,1,36
0.8943879529833794,0,C1,C40,1,37
0.8512220233678818,0,C1,D40,1,38
0.94871049746871,0,C1,B41,1,39
0.8766770586371422,0,C1,C41,1,40
0.840247705578804,0,C1,D41,1,41
0.8889046236872673,0,C1,B45,1,42
0.8476215451955795,0,C1,C45,1,43
0.8995695412158966,0,C1,D45,1,44
0.6716033816337585,0,C1,B58,1,45
0.6499077081680298,0,C1,C58,1,46
0.7970764189958572,0,C1,D58,1,47
0.8774074912071228,0,C1,B64,1,48
0.9269326627254486,0,C1,C64,1,49
0.8141346722841263,0,C1,D64,1,50
0.7350161075592041,0,C1,B66,1,51
0.7788035422563553,0,C1,C66,1,52
0.6600001752376556,0,C1,D66,1,53
0.8254314810037613,0,C1,B69,1,54
0.85542231798172,0,C1,C69,1,55
1.0062150228768587,0,C1,D69,1,56
0.6788890659809113,0,C1,B76,1,57
0.6286348700523376,0,C1,C76,1,58
0.6590188443660736,0,C1,D76,1,59
0.9263794496655464,0,C1,B79,1,60
0.8943067789077759,0,C1,C79,1,61
0.7814140021800995,0,C1,D79,1,62
0.7905774563550949,0,C1,B82,1,63
0.7969427108764648,0,C1,C82,1,64
0.7733599692583084,0,C1,D82,1,65
0.8378588557243347,0,C1,B87,1,66
0.7626790702342987,0,C1,C87,1,67
0.8966348692774773,0,C1,D87,1,68
0.7430343925952911,0,C1,B89,1,69
0.7883806526660919,0,C1,C89,1,70
0.8142464607954025,0,C1,D89,1,71
0.9378983452916145,0,C1,B90,1,72
0.9720893893390894,0,C1,C90,1,73
0.8919288367033005,0,C1,D90,1,74
0.8691972345113754,0,C1,B95,1,75
0.8099042028188705,0,C1,C95,1,76
0.9748422354459763,0,C1,D95,1,77
0.8832475543022156,0,C1,B100,1,78
0.854275181889534,0,C1,C100,1,79
0.8166992664337158,0,C1,D100,1,80
0.9548960588872433,0,D1,B2,2,3
0.9653812684118748,0,D1,C2,2,4
0.8928580433130264,0,D1,D2,2,5
0.8254251182079315,0,D1,B4,2,6
0.8001618087291718,0,D1,C4,2,7
0.9145262464880943,0,D1,D4,2,8
0.9483856223523617,0,D1,B5,2,9
0.902175284922123,0,D1,C5,2,10
0.899727962911129,0,D1,D5,2,11
1.0250612739473581,0,D1,B6,2,12
1.0156920794397593,0,D1,C6,2,13
0.8893543928861618,0,D1,D6,2,14
0.8928030431270599,0,D1,B7,2,15
0.9795272015035152,0,D1,C7,2,16
1.0406306199729443,0,D1,D7,2,17
0.8889560326933861,0,D1,B14,2,18
0.8011444956064224,0,D1,C14,2,19
0.8659560084342957,0,D1,D14,2,20
0.9586646668612957,0,D1,B16,2,21
0.9542815461754799,0,D1,C16,2,22
0.8891711458563805,0,D1,D16,2,23
0.9263598620891571,0,D1,B17,2,24
0.9336690157651901,0,D1,C17,2,25
0.8573237508535385,0,D1,D17,2,26
0.9248363599181175,0,D1,B28,2,27
0.87720587849617,0,D1,C28,2,28
0.9463121071457863,0,D1,D28,2,29
0.8202772885560989,0,D1,B38,2,30
0.8149596601724625,0,D1,C38,2,31
0.7469370067119598,0,D1,D38,2,32
0.855500340461731,0,D1,B39,2,33
0.9011243805289268,0,D1,C39,2,34
1.0122257573530078,0,D1,D39,2,35
0.8529149144887924,0,D1,B40,2,36
0.8512606173753738,0,D1,C40,2,37
0.8827766999602318,0,D1,D40,2,38
0.88125279545784,0,D1,B41,2,39
0.8202865272760391,0,D1,C41,2,40
0.8397334218025208,0,D1,D41,2,41
0.9315513670444489,0,D1,B45,2,42
0.8714321106672287,0,D1,C45,2,43
0.9079068154096603,0,D1,D45,2,44
0.7140834629535675,0,D1,B58,2,45
0.7494720816612244,0,D1,C58,2,46
0.8208372890949249,0,D1,D58,2,47
0.9547236263751984,0,D1,B64,2,48
1.001863455050625,0,D1,C64,2,49
0.9146320074796677,0,D1,D64,2,50
0.857441782951355,0,D1,B66,2,51
0.8460611999034882,0,D1,C66,2,52
0.772707387804985,0,D1,D66,2,53
0.8701996207237244,0,D1,B69,2,54
0.8848358020186424,0,D1,C69,2,55
0.9826318696141243,0,D1,D69,2,56
0.7504122257232666,0,D1,B76,2,57
0.7137080430984497,0,D1,C76,2,58
0.7539192587137222,0,D1,D76,2,59
0.9385622777044773,0,D1,B79,2,60
0.9492174834012985,0,D1,C79,2,61
0.8443101942539215,0,D1,D79,2,62
0.832396000623703,0,D1,B82,2,63
0.8416241258382797,0,D1,C82,2,64
0.8042799383401871,0,D1,D82,2,65
0.8499768674373627,0,D1,B87,2,66
0.8393571674823761,0,D1,C87,2,67
0.9179211929440498,0,D1,D87,2,68
0.7813620716333389,0,D1,B89,2,69
0.796564906835556,0,D1,C89,2,70
0.8109246790409088,0,D1,D89,2,71
0.9428552389144897,0,D1,B90,2,72
0.88909962028265,0,D1,C90,2,73
0.955176591873169,0,D1,D90,2,74
0.7898392677307129,0,D1,B95,2,75
0.841948851943016,0,D1,C95,2,76
0.8658802360296249,0,D1,D95,2,77
0.9519881457090378,0,D1,B100,2,78
0.9063719287514687,0,D1,C100,2,79
0.8856798112392426,0,D1,D100,2,80
0.22068941593170166,0,B2,C2,3,4
0.39335232973098755,0,B2,D2,3,5
0.8985773921012878,0,B2,B4,3,6
0.9097242131829262,0,B2,C4,3,7
0.95445366948843,0,B2,D4,3,8
0.7671736925840378,0,B2,B5,3,9
0.8609532117843628,0,B2,C5,3,10
0.7884899228811264,0,B2,D5,3,11
0.9856585785746574,0,B2,B6,3,12
0.972955847159028,0,B2,C6,3,13
0.8835379555821419,0,B2,D6,3,14
0.9391068033874035,0,B2,B7,3,15
0.8784413561224937,0,B2,C7,3,16
0.9722836781293154,0,B2,D7,3,17
0.8968986496329308,0,B2,B14,3,18
0.8863007053732872,0,B2,C14,3,19
0.9253672957420349,0,B2,D14,3,20
0.9130164086818695,0,B2,B16,3,21
0.8297136127948761,0,B2,C16,3,22
0.8685323596000671,0,B2,D16,3,23
1.0462600104510784,0,B2,B17,3,24
1.011014787480235,0,B2,C17,3,25
0.9753310978412628,0,B2,D17,3,26
1.0363735370337963,0,B2,B28,3,27
0.8546607494354248,0,B2,C28,3,28
0.9350331947207451,0,B2,D28,3,29
1.0412150658667088,0,B2,B38,3,30
0.9401520267128944,0,B2,C38,3,31
0.898618184030056,0,B2,D38,3,32
0.7829858958721161,0,B2,B39,3,33
0.672547459602356,0,B2,C39,3,34
0.8767426535487175,0,B2,D39,3,35
0.9565745778381824,0,B2,B40,3,36
0.8799615129828453,0,B2,C40,3,37
0.9594479948282242,0,B2,D40,3,38
0.980829382315278,0,B2,B41,3,39
0.938493374735117,0,B2,C41,3,40
1.069479689002037,0,B2,D41,3,41
0.8419639617204666,0,B2,B45,3,42
0.8669057786464691,0,B2,C45,3,43
0.7309349179267883,0,B2,D45,3,44
0.933338388800621,0,B2,B58,3,45
0.9231149479746819,0,B2,C58,3,46
1.0380616039037704,0,B2,D58,3,47
0.9247480928897858,0,B2,B64,3,48
0.8669125139713287,0,B2,C64,3,49
0.8035499006509781,0,B2,D64,3,50
0.8033822625875473,0,B2,B66,3,51
0.8372732996940613,0,B2,C66,3,52
0.8367296606302261,0,B2,D66,3,53
0.8899127170443535,0,B2,B69,3,54
0.8920104503631592,0,B2,C69,3,55
0.85299251973629,0,B2,D69,3,56
0.8908178508281708,0,B2,B76,3,57
0.9183121621608734,0,B2,C76,3,58
0.8687089830636978,0,B2,D76,3,59
0.8599124550819397,0,B2,B79,3,60
0.8801772892475128,0,B2,C79,3,61
0.8833963423967361,0,B2,D79,3,62
0.9814174156636,0,B2,B82,3,63
0.959548108279705,0,B2,C82,3,64
1.0157223884016275,0,B2,D82,3,65
0.8358016759157181,0,B2,B87,3,66
0.8247079104185104,0,B2,C87,3,67
0.8715152144432068,0,B2,D87,3,68
1.0045771491713822,0,B2,B89,3,69
0.9979767564218491,0,B2,C89,3,70
0.98833167552948,0,B2,D89,3,71
0.9927407796494663,0,B2,B90,3,72
0.9543615356087685,0,B2,C90,3,73
0.921473041176796,0,B2,D90,3,74
0.861951470375061,0,B2,B95,3,75
0.8541383743286133,0,B2,C95,3,76
0.8572104424238205,0,B2,D95,3,77
0.9387249760329723,0,B2,B100,3,78
0.9185863062739372,0,B2,C100,3,79
0.9392701424658298,0,B2,D100,3,80
0.4037308096885681,0,C2,D2,4,5
0.8569875955581665,0,C2,B4,4,6
0.8572563380002975,0,C2,C4,4,7
0.9620965197682381,0,C2,D4,4,8
0.869394525885582,0,C2,B5,4,9
0.918007381260395,0,C2,C5,4,10
0.8511675894260406,0,C2,D5,4,11
0.9134558066725731,0,C2,B6,4,12
0.9323569759726524,0,C2,C6,4,13
0.8830983117222786,0,C2,D6,4,14
0.9426528736948967,0,C2,B7,4,15
0.8956505656242371,0,C2,C7,4,16
0.9353893771767616,0,C2,D7,4,17
0.8570816367864609,0,C2,B14,4,18
0.850420668721199,0,C2,C14,4,19
0.8548974990844727,0,C2,D14,4,20
0.9706421233713627,0,C2,B16,4,21
0.9326374605298042,0,C2,C16,4,22
0.8337235301733017,0,C2,D16,4,23
1.021396717056632,0,C2,B17,4,24
1.0103168115019798,0,C2,C17,4,25
0.9802947901189327,0,C2,D17,4,26
1.0440977700054646,0,C2,B28,4,27
0.8403496146202087,0,C2,C28,4,28
0.9489023201167583,0,C2,D28,4,29
0.976487722247839,0,C2,B38,4,30
0.9530838094651699,0,C2,C38,4,31
0.8754912987351418,0,C2,D38,4,32
0.8256243318319321,0,C2,B39,4,33
0.7209201455116272,0,C2,C39,4,34
0.7946608364582062,0,C2,D39,4,35
1.029964379966259,0,C2,B40,4,36
