dissimilarity,rdm_index,trialno_1,trialno_2,pattern_index_1,pattern_index_2
0.16915804147720337,0,B3,C3,0,1
0.32145798206329346,0,B3,D3,0,2
0.658189445734024,0,B3,B8,0,3
0.7597554922103882,0,B3,C8,0,4
0.6560490727424622,0,B3,D8,0,5
0.7995053976774216,0,B3,B26,0,6
0.8150838017463684,0,B3,C26,0,7
0.7951296120882034,0,B3,D26,0,8
0.8947724401950836,0,B3,B30,0,9
0.9330980107188225,0,B3,C30,0,10
0.9393527917563915,0,B3,D30,0,11
0.8826952502131462,0,B3,B42,0,12
0.8224831372499466,0,B3,C42,0,13
0.8500722050666809,0,B3,D42,0,14
0.7687932103872299,0,B3,B44,0,15
0.73635333776474,0,B3,C44,0,16
0.8041263669729233,0,B3,D44,0,17
0.6862614452838898,0,B3,B51,0,18
0.688378095626831,0,B3,C51,0,19
0.7260158360004425,0,B3,D51,0,20
0.7860863357782364,0,B3,B52,0,21
0.7681597620248795,0,B3,C52,0,22
0.8724148571491241,0,B3,D52,0,23
0.8441907912492752,0,B3,B53,0,24
0.8523716032505035,0,B3,C53,0,25
0.8180802464485168,0,B3,D53,0,26
0.7432964146137238,0,B3,B54,0,27
0.7563249468803406,0,B3,C54,0,28
0.7501536011695862,0,B3,D54,0,29
0.7835926562547684,0,B3,B55,0,30
0.6674762070178986,0,B3,C55,0,31
0.8031384497880936,0,B3,D55,0,32
0.8177673071622849,0,B3,B56,0,33
0.7621656209230423,0,B3,C56,0,34
0.681481271982193,0,B3,D56,0,35
0.7976817637681961,0,B3,B57,0,36
0.8686883598566055,0,B3,C57,0,37
0.9232534915208817,0,B3,D57,0,38
0.9504039064049721,0,B3,B63,0,39
0.8334811180830002,0,B3,C63,0,40
0.8589519709348679,0,B3,D63,0,41
0.860559344291687,0,B3,B65,0,42
0.8671824634075165,0,B3,C65,0,43
0.9435139410197735,0,B3,D65,0,44
0.8869237676262856,0,B3,B67,0,45
0.8400255143642426,0,B3,C67,0,46
0.9393381327390671,0,B3,D67,0,47
0.841627225279808,0,B3,B68,0,48
